scooter, user, initialLoad, finalLoad, sourceX, sourceY, destinationX, destinationY, startTime, endTime
51,509,2,4,4.36409,50.85266,4.36887,50.83405,2017-01-01T22:03:00,2017-01-02T06:08:11
464,312,1,4,4.36002,50.83864,4.36149,50.83798,2017-01-01T22:42:54,2017-01-02T06:11:40
212,221,1,4,4.37124,50.82914,4.37622,50.86437,2017-01-01T22:00:47,2017-01-02T06:12:40
273,513,0,4,4.36494,50.82945,4.37413,50.83159,2017-01-01T22:18:07,2017-01-02T06:13:33
452,28,3,4,4.36786,50.837,4.3674,50.87542,2017-01-01T23:12:14,2017-01-02T06:15:37
312,298,2,4,4.3703,50.83198,4.36651,50.84256,2017-01-01T22:41:19,2017-01-02T06:15:46
406,192,3,4,4.36916,50.8504,4.36078,50.86719,2017-01-01T23:45:35,2017-01-02T06:16:02
555,523,0,4,4.37183,50.82636,4.37492,50.87149,2017-01-01T23:29:40,2017-01-02T06:17:22
331,250,1,4,4.36169,50.84678,4.37916,50.87667,2017-01-01T22:09:04,2017-01-02T06:19:49
481,448,3,4,4.37849,50.8443,4.36061,50.83882,2017-01-01T22:06:13,2017-01-02T06:21:19
541,322,0,4,4.37714,50.86997,4.36138,50.8398,2017-01-01T22:00:49,2017-01-02T06:25:10
374,506,1,4,4.3626,50.87558,4.37472,50.82336,2017-01-01T22:15:47,2017-01-02T06:29:42
319,125,3,4,4.36477,50.82883,4.37723,50.87448,2017-01-01T22:13:37,2017-01-02T06:30:50
126,286,1,4,4.3707,50.8639,4.36762,50.85364,2017-01-01T22:37:16,2017-01-02T06:31:18
552,173,0,4,4.3618,50.85686,4.36241,50.87037,2017-01-01T22:02:07,2017-01-02T06:31:20
369,336,2,4,4.37629,50.87992,4.36201,50.87065,2017-01-01T22:10:52,2017-01-02T06:34:01
167,265,2,4,4.36432,50.87028,4.37726,50.82076,2017-01-01T22:01:07,2017-01-02T06:35:50
409,209,2,4,4.3732,50.83338,4.36034,50.83982,2017-01-01T22:06:19,2017-01-02T06:38:51
443,296,2,4,4.36185,50.85133,4.36175,50.82893,2017-01-01T22:03:29,2017-01-02T06:43:54
314,226,0,4,4.36556,50.86998,4.36001,50.84742,2017-01-01T23:30:08,2017-01-02T06:47:41
25,324,0,4,4.37832,50.82584,4.36468,50.82142,2017-01-01T22:03:53,2017-01-02T06:47:48
8,427,3,4,4.37959,50.87809,4.36538,50.87556,2017-01-01T22:04:05,2017-01-02T06:51:10
203,498,0,4,4.36875,50.85431,4.36114,50.84773,2017-01-01T23:55:15,2017-01-02T06:51:12
27,181,2,4,4.36108,50.82079,4.36232,50.87869,2017-01-01T22:00:23,2017-01-02T06:54:26
181,81,2,4,4.37108,50.86653,4.37069,50.83168,2017-01-01T22:07:45,2017-01-02T06:58:07
254,494,0,4,4.37095,50.86571,4.37562,50.85768,2017-01-02T23:59:47,2017-01-03T05:00:55
357,64,1,4,4.37404,50.85351,4.36934,50.85928,2017-01-02T22:00:05,2017-01-03T05:02:48
32,358,1,4,4.36806,50.84169,4.37999,50.85835,2017-01-02T22:50:04,2017-01-03T05:03:32
480,465,1,4,4.37885,50.84727,4.36564,50.86315,2017-01-02T22:05:55,2017-01-03T05:04:38
87,46,2,4,4.36754,50.85342,4.37072,50.87495,2017-01-02T22:01:02,2017-01-03T05:05:55
450,434,0,4,4.36349,50.8436,4.37307,50.8381,2017-01-02T22:02:36,2017-01-03T05:08:33
226,417,1,4,4.37287,50.83922,4.3608,50.85033,2017-01-02T23:34:05,2017-01-03T05:11:54
295,23,3,4,4.3621,50.83375,4.37173,50.86577,2017-01-02T23:53:55,2017-01-03T05:14:53
553,486,1,4,4.37974,50.82605,4.36465,50.8445,2017-01-02T22:12:19,2017-01-03T05:18:15
430,162,2,4,4.36427,50.87361,4.37754,50.86666,2017-01-02T23:05:26,2017-01-03T05:18:40
114,195,3,4,4.36958,50.87889,4.36859,50.87855,2017-01-02T23:34:55,2017-01-03T05:22:56
478,381,3,4,4.3698,50.85035,4.36444,50.87191,2017-01-02T22:04:19,2017-01-03T05:23:08
457,462,3,4,4.37152,50.84339,4.36978,50.8401,2017-01-02T23:43:23,2017-01-03T05:23:56
279,58,0,4,4.36182,50.85762,4.36842,50.84566,2017-01-02T22:07:16,2017-01-03T05:25:07
237,168,3,4,4.36233,50.87422,4.36666,50.83923,2017-01-02T22:01:39,2017-01-03T05:29:43
107,92,0,4,4.37402,50.83122,4.36192,50.8515,2017-01-02T22:51:11,2017-01-03T05:31:03
6,392,2,4,4.37059,50.82654,4.36962,50.83272,2017-01-02T22:01:45,2017-01-03T05:34:22
503,104,2,4,4.36488,50.82102,4.37235,50.85975,2017-01-02T22:04:37,2017-01-03T05:34:38
312,501,3,4,4.36523,50.8225,4.37062,50.87598,2017-01-02T22:02:44,2017-01-03T05:35:04
362,32,2,4,4.36388,50.83709,4.36476,50.83599,2017-01-02T22:34:31,2017-01-03T05:35:31
284,425,0,4,4.36989,50.84493,4.37905,50.85396,2017-01-02T22:00:04,2017-01-03T05:39:05
86,331,2,4,4.37855,50.87509,4.37712,50.83478,2017-01-02T23:30:42,2017-01-03T05:40:23
466,141,1,4,4.3723,50.85216,4.37366,50.84661,2017-01-02T22:03:17,2017-01-03T05:43:52
433,305,0,4,4.37132,50.87211,4.37808,50.87282,2017-01-02T22:02:40,2017-01-03T05:44:18
364,353,2,4,4.36053,50.8701,4.37137,50.86828,2017-01-02T22:07:17,2017-01-03T05:44:22
156,414,2,4,4.36049,50.87565,4.3655,50.87309,2017-01-02T22:31:58,2017-01-03T05:44:29
193,197,2,4,4.37877,50.825,4.36171,50.8706,2017-01-02T23:58:15,2017-01-03T05:48:20
507,72,3,4,4.37031,50.84448,4.36495,50.8435,2017-01-02T22:07:22,2017-01-03T05:48:21
571,379,3,4,4.36687,50.8222,4.37288,50.83589,2017-01-02T22:03:15,2017-01-03T05:49:55
39,37,3,4,4.37179,50.85892,4.3791,50.82216,2017-01-02T23:21:54,2017-01-03T05:54:48
33,98,0,4,4.37958,50.86849,4.37508,50.86514,2017-01-02T22:08:31,2017-01-03T05:59:25
22,54,1,4,4.37915,50.82605,4.37952,50.82993,2017-01-02T22:09:47,2017-01-03T05:59:46
291,229,0,4,4.36662,50.83686,4.37603,50.85846,2017-01-02T22:02:16,2017-01-03T06:00:54
304,189,3,4,4.36139,50.86838,4.37695,50.84017,2017-01-02T22:24:57,2017-01-03T06:02:05
100,293,0,4,4.37688,50.86566,4.3707,50.8557,2017-01-02T23:23:08,2017-01-03T06:02:35
438,529,3,4,4.37178,50.87382,4.37009,50.8299,2017-01-02T22:08:47,2017-01-03T06:02:45
35,407,2,4,4.36151,50.83721,4.36032,50.8249,2017-01-02T22:08:33,2017-01-03T06:03:44
300,452,1,4,4.368,50.84961,4.36943,50.86414,2017-01-02T22:07:42,2017-01-03T06:03:54
128,163,2,4,4.36643,50.85117,4.36406,50.8681,2017-01-02T22:10:31,2017-01-03T06:06:23
320,439,1,4,4.37326,50.8669,4.37268,50.86384,2017-01-02T23:20:03,2017-01-03T06:08:08
448,401,0,4,4.36486,50.8575,4.37101,50.83976,2017-01-02T22:37:06,2017-01-03T06:13:43
195,206,3,4,4.36942,50.83529,4.37512,50.82052,2017-01-02T22:04:38,2017-01-03T06:15:20
187,181,2,4,4.37866,50.84831,4.37825,50.86068,2017-01-02T23:15:20,2017-01-03T06:17:12
346,14,1,4,4.36678,50.87848,4.36846,50.83493,2017-01-02T22:45:32,2017-01-03T06:18:18
172,535,3,4,4.36615,50.87065,4.3756,50.87348,2017-01-02T22:02:43,2017-01-03T06:18:27
213,535,0,4,4.37275,50.86653,4.36015,50.84915,2017-01-02T22:07:41,2017-01-03T06:22:02
215,83,0,4,4.36424,50.85617,4.37656,50.8599,2017-01-02T22:10:58,2017-01-03T06:23:44
488,171,2,4,4.37374,50.82783,4.37244,50.86694,2017-01-02T23:26:36,2017-01-03T06:27:15
445,276,0,4,4.36854,50.84037,4.37152,50.87353,2017-01-02T22:02:04,2017-01-03T06:30:26
544,57,1,4,4.36946,50.87947,4.36645,50.82422,2017-01-02T22:04:29,2017-01-03T06:33:09
93,365,2,4,4.37388,50.87911,4.36769,50.87659,2017-01-02T23:10:37,2017-01-03T06:36:01
205,317,1,4,4.37221,50.87608,4.36207,50.87399,2017-01-02T22:02:51,2017-01-03T06:36:07
146,540,0,4,4.36759,50.84358,4.37451,50.86913,2017-01-02T23:27:15,2017-01-03T06:37:53
204,195,2,4,4.36705,50.83312,4.37163,50.85979,2017-01-02T22:02:26,2017-01-03T06:38:18
223,138,3,4,4.37554,50.85928,4.36989,50.86258,2017-01-02T23:28:22,2017-01-03T06:40:00
119,208,1,4,4.36433,50.8288,4.36881,50.85932,2017-01-02T22:03:52,2017-01-03T06:40:40
75,48,3,4,4.3659,50.85719,4.37844,50.87826,2017-01-02T22:05:35,2017-01-03T06:48:44
547,273,0,4,4.37496,50.86499,4.36565,50.82841,2017-01-02T22:03:26,2017-01-03T06:49:46
121,303,0,4,4.36292,50.84992,4.37895,50.85489,2017-01-02T22:03:03,2017-01-03T06:52:29
309,261,0,4,4.37073,50.83025,4.36196,50.86577,2017-01-02T22:01:57,2017-01-03T06:58:39
373,167,0,4,4.37425,50.83555,4.3605,50.83456,2017-01-02T23:53:23,2017-01-03T06:59:38
322,395,3,4,4.37437,50.84856,4.36141,50.83191,2017-01-03T23:52:01,2017-01-04T05:00:18
321,183,1,4,4.37718,50.82487,4.37698,50.85221,2017-01-03T22:03:03,2017-01-04T05:00:29
526,249,1,4,4.36367,50.82182,4.37181,50.85084,2017-01-03T22:06:17,2017-01-04T05:01:46
89,56,2,4,4.36272,50.87621,4.37304,50.8423,2017-01-03T23:31:59,2017-01-04T05:06:26
428,382,1,4,4.37933,50.82763,4.36306,50.84671,2017-01-03T22:02:36,2017-01-04T05:07:04
4,130,2,4,4.36891,50.86607,4.36352,50.8348,2017-01-03T22:06:47,2017-01-04T05:08:40
79,0,3,4,4.36895,50.82741,4.3608,50.85892,2017-01-03T23:22:49,2017-01-04T05:12:32
104,416,0,4,4.37251,50.84939,4.36745,50.85681,2017-01-03T22:00:17,2017-01-04T05:19:31
320,384,0,4,4.3743,50.87641,4.37381,50.86317,2017-01-03T23:46:47,2017-01-04T05:21:04
68,173,0,4,4.36272,50.85817,4.36664,50.86066,2017-01-03T22:03:21,2017-01-04T05:21:36
14,241,1,4,4.37458,50.83649,4.3757,50.8328,2017-01-03T22:07:21,2017-01-04T05:22:05
596,424,1,4,4.37423,50.83759,4.37878,50.85926,2017-01-03T22:32:58,2017-01-04T05:30:40
590,513,2,4,4.36004,50.84986,4.37367,50.87522,2017-01-03T22:57:10,2017-01-04T05:36:33
289,362,0,4,4.36374,50.83877,4.3784,50.83839,2017-01-03T22:07:11,2017-01-04T05:36:35
59,160,1,4,4.37499,50.82802,4.36931,50.87918,2017-01-03T22:02:51,2017-01-04T05:37:51
352,388,2,4,4.37656,50.86307,4.37331,50.83042,2017-01-03T22:08:23,2017-01-04T05:40:51
128,150,3,4,4.3679,50.84871,4.37261,50.87917,2017-01-03T23:50:47,2017-01-04T05:41:20
155,462,2,4,4.37798,50.87558,4.3661,50.85644,2017-01-03T22:05:12,2017-01-04T05:42:37
389,229,3,4,4.37839,50.83896,4.371,50.87329,2017-01-03T22:06:29,2017-01-04T05:43:48
172,82,2,4,4.36964,50.85717,4.367,50.83434,2017-01-03T22:00:23,2017-01-04T05:46:49
218,239,3,4,4.37084,50.86973,4.37642,50.85986,2017-01-03T23:58:40,2017-01-04T05:46:58
540,298,1,4,4.37854,50.83866,4.36044,50.82522,2017-01-03T22:02:39,2017-01-04T05:51:50
189,454,1,4,4.3724,50.82564,4.37129,50.87879,2017-01-03T22:02:01,2017-01-04T05:55:56
254,159,1,4,4.37549,50.85218,4.36541,50.84876,2017-01-03T22:00:47,2017-01-04T05:59:07
261,460,2,4,4.3649,50.83484,4.37327,50.83833,2017-01-03T23:35:44,2017-01-04T06:01:46
259,270,0,4,4.37693,50.84358,4.37823,50.82443,2017-01-03T22:14:31,2017-01-04T06:03:50
252,490,0,4,4.36178,50.84966,4.37778,50.83442,2017-01-03T22:14:22,2017-01-04T06:07:21
344,377,0,4,4.36676,50.87934,4.36798,50.848,2017-01-03T23:28:45,2017-01-04T06:07:29
488,112,0,4,4.36764,50.84579,4.36998,50.86034,2017-01-03T22:01:30,2017-01-04T06:07:29
503,350,0,4,4.37623,50.86973,4.36443,50.8371,2017-01-03T22:06:57,2017-01-04T06:13:45
474,392,1,4,4.36724,50.8384,4.36379,50.84397,2017-01-03T22:03:02,2017-01-04T06:15:35
469,501,0,4,4.36843,50.85808,4.36029,50.85131,2017-01-03T22:01:47,2017-01-04T06:16:01
105,166,3,4,4.37193,50.83442,4.37585,50.86641,2017-01-03T22:08:16,2017-01-04T06:17:14
409,465,3,4,4.36775,50.84417,4.37955,50.86529,2017-01-03T22:05:49,2017-01-04T06:17:44
371,323,1,4,4.37628,50.83726,4.37514,50.87711,2017-01-03T23:42:35,2017-01-04T06:18:37
134,304,3,4,4.36855,50.85643,4.36295,50.87244,2017-01-03T22:04:56,2017-01-04T06:29:28
482,307,2,4,4.36021,50.82664,4.37862,50.82651,2017-01-03T22:09:13,2017-01-04T06:32:51
194,98,1,4,4.37457,50.86712,4.36424,50.82858,2017-01-03T23:32:08,2017-01-04T06:34:16
149,264,2,4,4.36149,50.86278,4.37905,50.84457,2017-01-03T22:06:25,2017-01-04T06:38:32
170,150,3,4,4.3697,50.82823,4.36832,50.83182,2017-01-03T22:05:06,2017-01-04T06:40:47
569,508,1,4,4.37331,50.87362,4.36449,50.82171,2017-01-03T23:35:14,2017-01-04T06:41:58
509,357,3,4,4.36683,50.84183,4.36439,50.8555,2017-01-03T23:15:48,2017-01-04T06:43:37
435,409,1,4,4.36716,50.87008,4.37334,50.85948,2017-01-03T22:00:37,2017-01-04T06:44:11
91,402,1,4,4.3739,50.82841,4.36442,50.85669,2017-01-03T23:11:35,2017-01-04T06:44:58
508,428,3,4,4.36562,50.85073,4.37367,50.86707,2017-01-03T22:09:48,2017-01-04T06:47:27
135,69,2,4,4.36669,50.84297,4.36397,50.86019,2017-01-03T23:27:18,2017-01-04T06:57:15
421,312,2,4,4.36158,50.87342,4.37172,50.86198,2017-01-03T22:08:11,2017-01-04T06:57:45
317,522,0,4,4.37637,50.82308,4.36384,50.85216,2017-01-04T22:07:40,2017-01-05T05:04:11
468,443,3,4,4.37367,50.87856,4.37496,50.85265,2017-01-04T22:12:16,2017-01-05T05:05:27
153,263,2,4,4.37756,50.84451,4.3702,50.83985,2017-01-04T22:02:53,2017-01-05T05:05:39
104,53,2,4,4.36776,50.84763,4.37792,50.82726,2017-01-04T22:00:48,2017-01-05T05:12:22
557,397,2,4,4.36299,50.82617,4.37292,50.83805,2017-01-04T22:01:40,2017-01-05T05:12:57
589,72,2,4,4.36657,50.82671,4.37758,50.87361,2017-01-04T22:01:09,2017-01-05T05:13:45
12,213,3,4,4.36985,50.87331,4.37679,50.82331,2017-01-04T23:02:09,2017-01-05T05:14:04
370,95,1,4,4.36593,50.83703,4.3642,50.84339,2017-01-04T22:00:02,2017-01-05T05:23:08
113,430,0,4,4.37845,50.8396,4.36618,50.82064,2017-01-04T23:46:20,2017-01-05T05:26:07
217,99,0,4,4.37988,50.87224,4.36103,50.87071,2017-01-04T23:51:37,2017-01-05T05:27:24
270,233,3,4,4.37918,50.8568,4.37169,50.83121,2017-01-04T22:00:05,2017-01-05T05:28:03
582,383,3,4,4.36218,50.8652,4.3775,50.83339,2017-01-04T23:23:27,2017-01-05T05:28:06
297,166,1,4,4.36651,50.85821,4.37051,50.85376,2017-01-04T22:01:03,2017-01-05T05:28:11
506,514,3,4,4.37519,50.86569,4.36928,50.85209,2017-01-04T22:12:31,2017-01-05T05:30:55
328,25,0,4,4.37995,50.87184,4.37721,50.82807,2017-01-04T23:22:39,2017-01-05T05:34:16
347,237,2,4,4.37467,50.84509,4.37212,50.8399,2017-01-04T22:01:33,2017-01-05T05:42:08
545,183,0,4,4.36702,50.87956,4.36121,50.86552,2017-01-04T22:00:38,2017-01-05T05:42:42
454,360,3,4,4.37786,50.84094,4.3787,50.83903,2017-01-04T22:00:35,2017-01-05T05:43:20
173,180,0,4,4.36148,50.82466,4.36237,50.84347,2017-01-04T23:16:40,2017-01-05T05:47:13
116,90,3,4,4.37947,50.82637,4.371,50.84144,2017-01-04T23:02:31,2017-01-05T05:48:51
89,441,0,4,4.37786,50.84866,4.37162,50.85088,2017-01-04T23:36:25,2017-01-05T05:53:25
199,330,2,4,4.37622,50.86462,4.36467,50.83702,2017-01-04T22:10:01,2017-01-05T05:53:33
574,372,3,4,4.3602,50.84043,4.37512,50.82047,2017-01-04T23:17:04,2017-01-05T05:54:09
255,420,3,4,4.37121,50.86162,4.3761,50.84264,2017-01-04T22:10:03,2017-01-05T05:57:08
240,435,2,4,4.36391,50.86117,4.36819,50.82347,2017-01-04T22:33:49,2017-01-05T06:01:38
306,100,3,4,4.37005,50.83385,4.37791,50.82036,2017-01-04T23:04:15,2017-01-05T06:03:42
524,464,0,4,4.37137,50.87689,4.3625,50.83158,2017-01-04T23:03:46,2017-01-05T06:07:42
3,384,1,4,4.36832,50.83822,4.3626,50.82729,2017-01-04T23:57:44,2017-01-05T06:09:24
56,295,1,4,4.3722,50.83639,4.37079,50.8571,2017-01-04T23:09:10,2017-01-05T06:10:36
239,383,3,4,4.36517,50.84853,4.36309,50.82534,2017-01-04T22:45:06,2017-01-05T06:17:22
287,368,2,4,4.37583,50.86647,4.36957,50.84318,2017-01-04T23:40:10,2017-01-05T06:17:46
493,47,1,4,4.37611,50.86609,4.377,50.86215,2017-01-04T22:00:22,2017-01-05T06:19:14
494,151,2,4,4.37224,50.85533,4.37051,50.87587,2017-01-04T22:00:39,2017-01-05T06:20:20
438,160,0,4,4.36094,50.83813,4.3626,50.85434,2017-01-04T22:02:00,2017-01-05T06:20:51
475,39,3,4,4.37562,50.83865,4.37633,50.87996,2017-01-04T22:00:40,2017-01-05T06:21:51
142,374,0,4,4.37752,50.87145,4.37962,50.82861,2017-01-04T23:27:19,2017-01-05T06:22:05
342,48,1,4,4.37896,50.87982,4.36558,50.84986,2017-01-04T22:02:06,2017-01-05T06:23:10
25,494,0,4,4.36653,50.83549,4.37417,50.84576,2017-01-04T22:06:01,2017-01-05T06:26:03
536,537,2,4,4.36848,50.84027,4.37756,50.84948,2017-01-04T22:02:34,2017-01-05T06:26:54
510,206,3,4,4.37983,50.82491,4.36309,50.8526,2017-01-04T22:07:30,2017-01-05T06:27:48
379,316,1,4,4.36257,50.84619,4.36552,50.86072,2017-01-04T22:01:32,2017-01-05T06:31:07
21,478,0,4,4.3693,50.86891,4.3666,50.82184,2017-01-04T22:06:20,2017-01-05T06:31:12
129,129,2,4,4.36253,50.87566,4.36991,50.84277,2017-01-04T23:56:00,2017-01-05T06:32:47
530,159,0,4,4.37397,50.87914,4.36965,50.84428,2017-01-04T22:03:23,2017-01-05T06:33:42
174,137,0,4,4.37064,50.82995,4.36838,50.82641,2017-01-04T22:00:26,2017-01-05T06:37:01
473,172,3,4,4.37727,50.86062,4.37099,50.8625,2017-01-04T23:14:07,2017-01-05T06:39:31
320,73,0,4,4.36653,50.87282,4.37931,50.83153,2017-01-04T22:02:09,2017-01-05T06:41:52
318,466,2,4,4.37533,50.86849,4.37909,50.83172,2017-01-04T23:46:02,2017-01-05T06:44:56
222,328,2,4,4.37899,50.84353,4.36329,50.8724,2017-01-04T22:02:44,2017-01-05T06:45:29
447,37,3,4,4.36401,50.85274,4.36477,50.86239,2017-01-04T23:27:45,2017-01-05T06:46:21
266,331,3,4,4.37334,50.87724,4.36531,50.83325,2017-01-04T22:06:52,2017-01-05T06:49:15
520,36,1,4,4.36117,50.82211,4.36602,50.82577,2017-01-04T22:04:12,2017-01-05T06:52:28
469,518,2,4,4.36029,50.85131,4.36944,50.87213,2017-01-04T22:02:29,2017-01-05T06:52:46
559,94,0,4,4.37538,50.85283,4.37204,50.82717,2017-01-05T22:02:21,2017-01-06T05:01:02
105,226,1,4,4.36587,50.83276,4.37602,50.84407,2017-01-05T22:00:57,2017-01-06T05:04:47
201,278,1,4,4.36741,50.86853,4.36267,50.87733,2017-01-05T22:05:14,2017-01-06T05:06:03
215,511,1,4,4.3617,50.84659,4.37164,50.82216,2017-01-05T22:01:10,2017-01-06T05:06:07
400,25,3,4,4.36576,50.82236,4.36421,50.87091,2017-01-05T22:05:13,2017-01-06T05:10:22
447,26,0,4,4.37958,50.8772,4.37671,50.84684,2017-01-05T22:00:23,2017-01-06T05:14:14
296,446,0,4,4.36997,50.85726,4.37645,50.86722,2017-01-05T22:48:14,2017-01-06T05:21:01
410,197,3,4,4.36224,50.87542,4.37768,50.86065,2017-01-05T22:03:52,2017-01-06T05:21:52
171,517,2,4,4.37983,50.82092,4.37414,50.85619,2017-01-05T22:52:41,2017-01-06T05:25:29
75,371,3,4,4.37652,50.83516,4.37748,50.83029,2017-01-05T23:21:59,2017-01-06T05:26:09
456,131,0,4,4.364,50.86191,4.36246,50.86581,2017-01-05T22:41:57,2017-01-06T05:26:40
67,472,0,4,4.37717,50.85408,4.36442,50.83585,2017-01-05T22:02:39,2017-01-06T05:26:45
538,164,0,4,4.36253,50.8387,4.37234,50.87929,2017-01-05T22:04:47,2017-01-06T05:31:34
585,237,1,4,4.37422,50.8624,4.36751,50.82901,2017-01-05T22:09:30,2017-01-06T05:31:58
563,340,1,4,4.36569,50.82754,4.36752,50.85914,2017-01-05T22:00:53,2017-01-06T05:32:40
590,343,2,4,4.37893,50.86926,4.36856,50.86362,2017-01-05T22:00:52,2017-01-06T05:33:13
532,453,0,4,4.37622,50.85401,4.3777,50.83467,2017-01-05T23:41:35,2017-01-06T05:39:17
325,32,0,4,4.36794,50.86331,4.36938,50.83929,2017-01-05T23:04:06,2017-01-06T05:39:49
187,26,1,4,4.37188,50.83484,4.37177,50.82765,2017-01-05T22:02:53,2017-01-06T05:39:57
396,214,3,4,4.37607,50.87957,4.37173,50.86005,2017-01-05T22:04:26,2017-01-06T05:42:51
283,253,1,4,4.37814,50.82462,4.3729,50.82522,2017-01-05T22:54:42,2017-01-06T05:44:19
68,287,3,4,4.36261,50.86851,4.36247,50.82414,2017-01-05T23:17:32,2017-01-06T05:46:33
288,365,1,4,4.3769,50.84335,4.37769,50.86657,2017-01-05T22:04:14,2017-01-06T05:47:34
178,298,0,4,4.36413,50.83646,4.37814,50.83169,2017-01-05T23:38:37,2017-01-06T05:48:50
225,201,3,4,4.36665,50.84191,4.37142,50.82881,2017-01-05T23:19:11,2017-01-06T05:50:34
182,273,3,4,4.37717,50.822,4.36362,50.85202,2017-01-05T23:15:49,2017-01-06T05:50:35
420,543,2,4,4.36025,50.84608,4.36335,50.82566,2017-01-05T22:47:02,2017-01-06T05:51:15
186,435,0,4,4.37597,50.8704,4.37509,50.86009,2017-01-05T22:05:06,2017-01-06T05:52:59
47,173,0,4,4.36727,50.83942,4.36872,50.86076,2017-01-05T22:06:48,2017-01-06T05:53:02
180,531,2,4,4.37635,50.86285,4.36347,50.83527,2017-01-05T22:40:08,2017-01-06T05:54:29
17,231,0,4,4.3702,50.82044,4.37496,50.86737,2017-01-05T22:02:13,2017-01-06T05:55:37
551,73,2,4,4.36903,50.84588,4.36991,50.86327,2017-01-05T23:31:13,2017-01-06T05:57:46
497,424,1,4,4.36959,50.86296,4.36443,50.87912,2017-01-05T23:43:38,2017-01-06T05:59:38
289,313,2,4,4.36915,50.83841,4.3719,50.83027,2017-01-05T22:32:51,2017-01-06T06:01:12
293,459,1,4,4.36328,50.82225,4.36757,50.84404,2017-01-05T23:34:36,2017-01-06T06:06:42
243,220,2,4,4.36021,50.86542,4.36082,50.84667,2017-01-05T22:03:56,2017-01-06T06:09:50
